QuestionOrder,Demo-ResponseID,Condition,Dataset,Task,Response,NormResponse,DatasetOrder,DatasetDuration,DatasetStartTime,TaskOrder,CorrectAnswer,NormCorrectAnswer,RawDifference,AbsDifference,Percentage,LogError,Underestimated,ClustConf,filename,Stats-Q_TotalDuration,Stats-dataset_count,Stats-CompensationCondition,Stats-OperatingSystem,StatsScreenWidth,StatsScreenHeight,Demo-age,Demo-gender,Demo-lang,Demo-educ,Demo-educ_TEXT,Demo-acfield,Demo-acfieldother,Demo-dailytech_Computer,Demo-dailytech_Tablet,Demo-dailytech_SmartPhone,Demo-weeklygaming,Demo-expdataanal,Demo-expdatavis,Demo-expreadnetvis,Demo-expcreatenetvis,NetVisExperience,Attempt,NodeRank,MaxNodeRank,StatsNumPixels,AvgDeg,Density,LargeClust1,Modularity,NumClust,NumHighDegree,NumLinks,NumNodes,NumNodesClust1
1,R_00QI9tEVok6cpJ7,Ctrl,5,AvgDeg,2,0.006711409395973154,1,220,305,1,2.8492791612057666,0.012411269538293735,-0.005699860142320581,0.005699860142320581,0.45924875974486173,0.002468389733162339,under,NA,MTurkFinal,1095,3,NA,Windows NT 10.0,1920,1080,31,Male,English,High School diploma,NA,Skipped,NA,12,0,0,10,None,None,None,None,Low,NA,NA,NA,2073600,2.8492791612057666,0.014611546685673556,16.304347826086957,0.635997091678234,12,51,246,184,30
2,R_00QI9tEVok6cpJ7,Ctrl,5,BC,12597.314500601013,1,1,220,305,2,12597.314500601013,1,0,0,0,0,correct,NA,MTurkFinal,1095,3,NA,Windows NT 10.0,1920,1080,31,Male,English,High School diploma,NA,Skipped,NA,12,0,0,10,None,None,None,None,Low,3,1,113,2073600,2.8492791612057666,0.014611546685673556,16.304347826086957,0.635997091678234,12,51,246,184,30
3,R_00QI9tEVok6cpJ7,Ctrl,5,NumLinks,70,0.0447561790247161,1,220,305,3,246,0.1623246492985972,-0.11756847027388109,0.11756847027388109,0.7242798353909465,0.048274140619342154,under,NA,MTurkFinal,1095,3,NA,Windows NT 10.0,1920,1080,31,Male,English,High School diploma,NA,Skipped,NA,12,0,0,10,None,None,None,None,Low,NA,NA,NA,2073600,2.8492791612057666,0.014611546685673556,16.304347826086957,0.635997091678234,12,51,246,184,30
4,R_00QI9tEVok6cpJ7,Ctrl,5,ClickHighDeg,51,1,1,220,305,5,51,1,0,0,0,0,correct,NA,MTurkFinal,1095,3,NA,Windows NT 10.0,1920,1080,31,Male,English,High School diploma,NA,Skipped,NA,12,0,0,10,None,None,None,None,Low,1,1,12,2073600,2.8492791612057666,0.014611546685673556,16.304347826086957,0.635997091678234,12,51,246,184,30
5,R_00QI9tEVok6cpJ7,Ctrl,5,NumNodes,120,0.3313953488372093,1,220,305,6,184,0.5174418604651163,-0.18604651162790703,0.18604651162790703,0.3595505617977529,0.07410172051834987,under,NA,MTurkFinal,1095,3,NA,Windows NT 10.0,1920,1080,31,Male,English,High School diploma,NA,Skipped,NA,12,0,0,10,None,None,None,None,Low,NA,NA,NA,2073600,2.8492791612057666,0.014611546685673556,16.304347826086957,0.635997091678234,12,51,246,184,30
6,R_00QI9tEVok6cpJ7,Ctrl,5,LargeClust1,45,0.37349397590361444,1,220,305,7,16.304347826086957,0.027763226820324782,0.34573074908328966,0.34573074908328966,12.452830188679242,0.1289581758726794,over,NA,MTurkFinal,1095,3,NA,Windows NT 10.0,1920,1080,31,Male,English,High School diploma,NA,Skipped,NA,12,0,0,10,None,None,None,None,Low,NA,NA,NA,2073600,2.8492791612057666,0.014611546685673556,16.304347826086957,0.635997091678234,12,51,246,184,30
7,R_00QI9tEVok6cpJ7,Ctrl,5,NumClust,5,0.0625,1,220,305,8,12,0.20833333333333334,-0.14583333333333334,0.14583333333333334,0.7000000000000001,0.059121452118656596,under,Somewhat confident (51-75%),MTurkFinal,1095,3,NA,Windows NT 10.0,1920,1080,31,Male,English,High School diploma,NA,Skipped,NA,12,0,0,10,None,None,None,None,Low,NA,NA,NA,2073600,2.8492791612057666,0.014611546685673556,16.304347826086957,0.635997091678234,12,51,246,184,30
8,R_00QI9tEVok6cpJ7,Ctrl,5,NumHighDegree,27,0.1978021978021978,1,220,305,9,51,0.46153846153846156,-0.2637362637362638,0.2637362637362638,0.5714285714285715,0.10165644803251807,under,NA,MTurkFinal,1095,3,NA,Windows NT 10.0,1920,1080,31,Male,English,High School diploma,NA,Skipped,NA,12,0,0,10,None,None,None,None,Low,NA,NA,NA,2073600,2.8492791612057666,0.014611546685673556,16.304347826086957,0.635997091678234,12,51,246,184,30
9,R_00QI9tEVok6cpJ7,Ctrl,9,NumHighDegree,27,0.15172413793103448,2,359,525,1,34,0.2,-0.04827586206896553,0.04827586206896553,0.24137931034482765,0.020475585709797694,under,NA,MTurkFinal,1095,3,NA,Windows NT 10.0,1920,1080,31,Male,English,High School diploma,NA,Skipped,NA,12,0,0,10,None,None,None,None,Low,NA,NA,NA,2073600,4.823218997361478,0.012759838617358406,15.303430079155673,0.8377212723067863,19,34,914,379,58
10,R_00QI9tEVok6cpJ7,Ctrl,9,NumClust,15,0.048507462686567165,2,359,525,3,19,0.06343283582089553,-0.01492537313432836,0.01492537313432836,0.23529411764705885,0.006434110005409903,under,Somewhat doubtful (26-50%),MTurkFinal,1095,3,NA,Windows NT 10.0,1920,1080,31,Male,English,High School diploma,NA,Skipped,NA,12,0,0,10,None,None,None,None,Low,NA,NA,NA,2073600,4.823218997361478,0.012759838617358406,15.303430079155673,0.8377212723067863,19,34,914,379,58
11,R_00QI9tEVok6cpJ7,Ctrl,9,LargeClust1,29,0.390625,2,359,525,4,15.303430079155673,0.1766160949868074,0.2140089050131926,0.2140089050131926,1.2117180205415499,0.08422187239319816,over,NA,MTurkFinal,1095,3,NA,Windows NT 10.0,1920,1080,31,Male,English,High School diploma,NA,Skipped,NA,12,0,0,10,None,None,None,None,Low,NA,NA,NA,2073600,4.823218997361478,0.012759838617358406,15.303430079155673,0.8377212723067863,19,34,914,379,58
12,R_00QI9tEVok6cpJ7,Ctrl,9,ClickHighDeg,27,0.7586206896551724,2,359,525,5,34,1,-0.24137931034482762,0.24137931034482762,0.24137931034482762,0.09390450286833119,under,NA,MTurkFinal,1095,3,NA,Windows NT 10.0,1920,1080,31,Male,English,High School diploma,NA,Skipped,NA,12,0,0,10,None,None,None,None,Low,1,2,21,2073600,4.823218997361478,0.012759838617358406,15.303430079155673,0.8377212723067863,19,34,914,379,58
13,R_00QI9tEVok6cpJ7,Ctrl,9,NumNodes,175,0.1716867469879518,2,359,525,6,379,0.37650602409638556,-0.20481927710843376,0.20481927710843376,0.544,0.08092190762392613,under,NA,MTurkFinal,1095,3,NA,Windows NT 10.0,1920,1080,31,Male,English,High School diploma,NA,Skipped,NA,12,0,0,10,None,None,None,None,Low,NA,NA,NA,2073600,4.823218997361478,0.012759838617358406,15.303430079155673,0.8377212723067863,19,34,914,379,58
14,R_00QI9tEVok6cpJ7,Ctrl,9,AvgDeg,4,0.0066815144766146995,2,359,525,7,4.823218997361478,0.008514964359379682,-0.0018334498827649827,0.0018334498827649827,0.2153209109730848,7.955281091176178e-4,under,NA,MTurkFinal,1095,3,NA,Windows NT 10.0,1920,1080,31,Male,English,High School diploma,NA,Skipped,NA,12,0,0,10,None,None,None,None,Low,NA,NA,NA,2073600,4.823218997361478,0.012759838617358406,15.303430079155673,0.8377212723067863,19,34,914,379,58
15,R_00QI9tEVok6cpJ7,Ctrl,9,NumLinks,200,0.09683893627696939,2,359,525,8,914,0.45509282488710484,-0.35825388861013546,0.35825388861013546,0.7872105843439912,0.13298095707001878,under,NA,MTurkFinal,1095,3,NA,Windows NT 10.0,1920,1080,31,Male,English,High School diploma,NA,Skipped,NA,12,0,0,10,None,None,None,None,Low,NA,NA,NA,2073600,4.823218997361478,0.012759838617358406,15.303430079155673,0.8377212723067863,19,34,914,379,58
16,R_00QI9tEVok6cpJ7,Ctrl,9,BC,28300.56447421692,1,2,359,525,9,28300.56447421692,1,0,0,0,0,correct,NA,MTurkFinal,1095,3,NA,Windows NT 10.0,1920,1080,31,Male,English,High School diploma,NA,Skipped,NA,12,0,0,10,None,None,None,None,Low,4,1,107,2073600,4.823218997361478,0.012759838617358406,15.303430079155673,0.8377212723067863,19,34,914,379,58
17,R_00QI9tEVok6cpJ7,Ctrl,3,NumLinks,70,0.15167095115681234,3,166,884,1,143,0.3393316195372751,-0.18766066838046275,0.18766066838046275,0.5530303030303031,0.07469237423041776,under,NA,MTurkFinal,1095,3,NA,Windows NT 10.0,1920,1080,31,Male,English,High School diploma,NA,Skipped,NA,12,0,0,10,None,None,None,None,Low,NA,NA,NA,2073600,4.268656716417911,0.0646766169154229,19.402985074626866,0.7169788253704334,7,10,143,67,13
18,R_00QI9tEVok6cpJ7,Ctrl,3,NumNodes,60,0.4444444444444444,3,166,884,2,67,0.5092592592592593,-0.06481481481481488,0.06481481481481488,0.1272727272727274,0.027274084866662007,under,NA,MTurkFinal,1095,3,NA,Windows NT 10.0,1920,1080,31,Male,English,High School diploma,NA,Skipped,NA,12,0,0,10,None,None,None,None,Low,NA,NA,NA,2073600,4.268656716417911,0.0646766169154229,19.402985074626866,0.7169788253704334,7,10,143,67,13
19,R_00QI9tEVok6cpJ7,Ctrl,3,ClickHighDeg,10,1,3,166,884,3,10,1,0,0,0,0,correct,NA,MTurkFinal,1095,3,NA,Windows NT 10.0,1920,1080,31,Male,English,High School diploma,NA,Skipped,NA,12,0,0,10,None,None,None,None,Low,1,1,10,2073600,4.268656716417911,0.0646766169154229,19.402985074626866,0.7169788253704334,7,10,143,67,13
20,R_00QI9tEVok6cpJ7,Ctrl,3,BC,1277,1,3,166,884,5,1277,1,0,0,0,0,correct,NA,MTurkFinal,1095,3,NA,Windows NT 10.0,1920,1080,31,Male,English,High School diploma,NA,Skipped,NA,12,0,0,10,None,None,None,None,Low,1,1,14,2073600,4.268656716417911,0.0646766169154229,19.402985074626866,0.7169788253704334,7,10,143,67,13
21,R_00QI9tEVok6cpJ7,Ctrl,3,LargeClust1,35,0.509090909090909,3,166,884,6,19.402985074626866,0.22550881953867027,0.28358208955223874,0.28358208955223874,1.257521058965102,0.10842364854274127,over,NA,MTurkFinal,1095,3,NA,Windows NT 10.0,1920,1080,31,Male,English,High School diploma,NA,Skipped,NA,12,0,0,10,None,None,None,None,Low,NA,NA,NA,2073600,4.268656716417911,0.0646766169154229,19.402985074626866,0.7169788253704334,7,10,143,67,13
22,R_00QI9tEVok6cpJ7,Ctrl,3,NumHighDegree,10,0.13043478260869565,3,166,884,7,10,0.13043478260869565,0,0,0,0,correct,NA,MTurkFinal,1095,3,NA,Windows NT 10.0,1920,1080,31,Male,English,High School diploma,NA,Skipped,NA,12,0,0,10,None,None,None,None,Low,NA,NA,NA,2073600,4.268656716417911,0.0646766169154229,19.402985074626866,0.7169788253704334,7,10,143,67,13
23,R_00QI9tEVok6cpJ7,Ctrl,3,AvgDeg,2,0,3,166,884,8,4.268656716417911,0.0391147709727226,-0.0391147709727226,0.0391147709727226,1,0.016663518343856785,under,NA,MTurkFinal,1095,3,NA,Windows NT 10.0,1920,1080,31,Male,English,High School diploma,NA,Skipped,NA,12,0,0,10,None,None,None,None,Low,NA,NA,NA,2073600,4.268656716417911,0.0646766169154229,19.402985074626866,0.7169788253704334,7,10,143,67,13
24,R_00QI9tEVok6cpJ7,Ctrl,3,NumClust,4,0.004219409282700422,3,166,884,9,7,0.016877637130801686,-0.012658227848101264,0.012658227848101264,0.75,0.005462895701502187,under,Somewhat confident (51-75%),MTurkFinal,1095,3,NA,Windows NT 10.0,1920,1080,31,Male,English,High School diploma,NA,Skipped,NA,12,0,0,10,None,None,None,None,Low,NA,NA,NA,2073600,4.268656716417911,0.0646766169154229,19.402985074626866,0.7169788253704334,7,10,143,67,13
73,R_06aJ1UJlmyKQ893,Siz,8,LargeClust1,41,0.4642857142857143,1,56,142,1,17.445482866043612,0.04366933689363593,0.42061637739207836,0.42061637739207836,9.631847133757969,0.15247681707263278,over,NA,MTurkFinal,366,3,NA,Windows NT 10.0,1366,768,21,Male,English,Bachelor’s degree,NA,Economics,NA,4,0,1,5,None,None,None,None,Low,NA,NA,NA,1049088,3.632398753894081,0.011351246105919003,17.445482866043612,0.8755667291380431,20,49,583,321,56
74,R_06aJ1UJlmyKQ893,Siz,8,ClickHighDeg,49,1,1,56,142,2,49,1,0,0,0,0,correct,NA,MTurkFinal,366,3,NA,Windows NT 10.0,1366,768,21,Male,English,Bachelor’s degree,NA,Economics,NA,4,0,1,5,None,None,None,None,Low,1,1,12,1049088,3.632398753894081,0.011351246105919003,17.445482866043612,0.8755667291380431,20,49,583,321,56
75,R_06aJ1UJlmyKQ893,Siz,8,AvgDeg,4,0.012048192771084338,1,56,142,3,3.632398753894081,0.010571882545759363,0.0014763102253249755,0.0014763102253249755,0.13964497041420112,6.406805790683413e-4,over,NA,MTurkFinal,366,3,NA,Windows NT 10.0,1366,768,21,Male,English,Bachelor’s degree,NA,Economics,NA,4,0,1,5,None,None,None,None,Low,NA,NA,NA,1049088,3.632398753894081,0.011351246105919003,17.445482866043612,0.8755667291380431,20,49,583,321,56
76,R_06aJ1UJlmyKQ893,Siz,8,NumHighDegree,40,0.08860759493670886,1,56,142,4,49,0.11139240506329114,-0.022784810126582275,0.022784810126582275,0.20454545454545453,0.00978426948414469,under,NA,MTurkFinal,366,3,NA,Windows NT 10.0,1366,768,21,Male,English,Bachelor’s degree,NA,Economics,NA,4,0,1,5,None,None,None,None,Low,NA,NA,NA,1049088,3.632398753894081,0.011351246105919003,17.445482866043612,0.8755667291380431,20,49,583,321,56
77,R_06aJ1UJlmyKQ893,Siz,8,NumNodes,150,0.12133891213389121,1,56,142,5,321,0.2644351464435146,-0.14309623430962343,0.14309623430962343,0.5411392405063291,0.058082794061357246,under,NA,MTurkFinal,366,3,NA,Windows NT 10.0,1366,768,21,Male,English,Bachelor’s degree,NA,Economics,NA,4,0,1,5,None,None,None,None,Low,NA,NA,NA,1049088,3.632398753894081,0.011351246105919003,17.445482866043612,0.8755667291380431,20,49,583,321,56
78,R_06aJ1UJlmyKQ893,Siz,8,NumLinks,300,0.18144611186903137,1,56,142,6,583,0.37448840381991816,-0.1930422919508868,0.1930422919508868,0.5154826958105647,0.07665583917356737,under,NA,MTurkFinal,366,3,NA,Windows NT 10.0,1366,768,21,Male,English,Bachelor’s degree,NA,Economics,NA,4,0,1,5,None,None,None,None,Low,NA,NA,NA,1049088,3.632398753894081,0.011351246105919003,17.445482866043612,0.8755667291380431,20,49,583,321,56
79,R_06aJ1UJlmyKQ893,Siz,8,BC,23517,0.5705712353194368,1,56,142,7,40976.5,1,-0.42942876468056324,0.42942876468056324,0.42942876468056324,0.15516251724769237,under,NA,MTurkFinal,366,3,NA,Windows NT 10.0,1366,768,21,Male,English,Bachelor’s degree,NA,Economics,NA,4,0,1,5,None,None,None,None,Low,1,4,76,1049088,3.632398753894081,0.011351246105919003,17.445482866043612,0.8755667291380431,20,49,583,321,56
80,R_06aJ1UJlmyKQ893,Siz,8,NumClust,120,0.24435318275154005,1,56,142,9,20,0.039014373716632446,0.20533880903490762,0.20533880903490762,5.2631578947368425,0.08110914003298011,over,Somewhat doubtful (26-50%),MTurkFinal,366,3,NA,Windows NT 10.0,1366,768,21,Male,English,Bachelor’s degree,NA,Economics,NA,4,0,1,5,None,None,None,None,Low,NA,NA,NA,1049088,3.632398753894081,0.011351246105919003,17.445482866043612,0.8755667291380431,20,49,583,321,56
81,R_06aJ1UJlmyKQ893,Siz,5,AvgDeg,95,0.7580645161290323,2,55,198,2,2.8492791612057666,0.01491354162262715,0.7431509745064051,0.7431509745064051,49.830616583982994,0.2413350030340081,over,NA,MTurkFinal,366,3,NA,Windows NT 10.0,1366,768,21,Male,English,Bachelor’s degree,NA,Economics,NA,4,0,1,5,None,None,None,None,Low,NA,NA,NA,1049088,2.8492791612057666,0.014611546685673556,16.304347826086957,0.635997091678234,12,51,246,184,30
82,R_06aJ1UJlmyKQ893,Siz,5,NumLinks,180,0.11498257839721254,2,55,198,3,246,0.16097560975609757,-0.04599303135888502,0.04599303135888502,0.28571428571428575,0.01952879117325925,under,NA,MTurkFinal,366,3,NA,Windows NT 10.0,1366,768,21,Male,English,Bachelor’s degree,NA,Economics,NA,4,0,1,5,None,None,None,None,Low,NA,NA,NA,1049088,2.8492791612057666,0.014611546685673556,16.304347826086957,0.635997091678234,12,51,246,184,30
83,R_06aJ1UJlmyKQ893,Siz,5,NumClust,4,0.05084745762711865,2,55,198,4,12,0.1864406779661017,-0.13559322033898305,0.13559322033898305,0.7272727272727273,0.055222791058682275,under,Somewhat doubtful (26-50%),MTurkFinal,366,3,NA,Windows NT 10.0,1366,768,21,Male,English,Bachelor’s degree,NA,Economics,NA,4,0,1,5,None,None,None,None,Low,NA,NA,NA,1049088,2.8492791612057666,0.014611546685673556,16.304347826086957,0.635997091678234,12,51,246,184,30
